"","aro","ngo","wai","tuk","yac","ava","plu","lot","fin","vol","bon","tag","lou","lan","ano"
"aro",NA,-0.000143810486540701,-1.39780596057221e-06,-7.05526055790632e-05,-0.000141520109792443,-7.78616080808971e-05,-0.000104860431322864,-0.000107325100390865,-7.92262676204324e-05,-4.59536760592288e-05,7.1920315503601e-05,-3.67000058291185e-05,-0.000145886345585755,-9.07972811936581e-06,-3.74050832462302e-05
"ngo",-0.000143810486540701,NA,2.51529379182237e-06,-4.68289260673935e-05,-6.16656934267644e-05,-7.89205899292073e-05,-8.24038021614286e-05,-5.11815080507674e-05,-5.9878120791164e-05,-4.92062707248466e-05,-7.42190948810915e-06,-3.31985067858703e-05,-0.000133341488879124,-4.91794896938344e-06,1.95596829845097e-05
"wai",-1.39780596057221e-06,2.51529379182237e-06,NA,5.58235377383872e-06,-1.07667522630854e-06,-7.37930196993161e-07,-2.12518735130118e-05,-5.42244271266293e-08,-1.48686010875416e-06,-8.88599004560541e-07,2.80612911531654e-06,2.06256505990441e-06,4.21396695630182e-06,7.47934928879288e-07,-6.39043736850826e-06
"tuk",-7.05526055790632e-05,-4.68289260673935e-05,5.58235377383872e-06,NA,-5.02174864841093e-05,-4.58891046254728e-05,-3.56498447151216e-05,-1.65172406940163e-05,-2.10672688549949e-05,-1.93679177563472e-05,6.39410651554137e-06,1.10958814480826e-05,9.33866781399017e-06,1.13126246902382e-05,1.91029629359824e-05
"yac",-0.000141520109792443,-6.16656934267644e-05,-1.07667522630854e-06,-5.02174864841093e-05,NA,-5.69816464156624e-05,-3.29302858084781e-05,2.85438746560558e-05,-6.22556872330993e-05,-5.14797337442587e-05,-2.36645226644319e-05,-1.24301679357146e-05,-2.32463348687359e-05,-1.01121897433869e-05,-5.13726985779429e-05
"ava",-7.78616080808971e-05,-7.89205899292073e-05,-7.37930196993161e-07,-4.58891046254728e-05,-5.69816464156624e-05,NA,-4.94155615103104e-05,-3.54470375341242e-05,-5.42610590813476e-05,-6.93025551214806e-05,-2.14373429764815e-05,-4.78315840814971e-06,-5.18595603528087e-05,-1.15214236066826e-05,-4.40621573683499e-05
"plu",-0.000104860431322864,-8.24038021614286e-05,-2.12518735130118e-05,-3.56498447151216e-05,-3.29302858084781e-05,-4.94155615103104e-05,NA,-2.08822549732917e-05,-3.51258723970595e-05,-7.10803139888671e-07,-2.83826721305251e-06,5.07750871836303e-05,-0.000103236766675008,3.65898206286673e-05,1.96027830048672e-05
"lot",-0.000107325100390865,-5.11815080507674e-05,-5.42244271266293e-08,-1.65172406940163e-05,2.85438746560558e-05,-3.54470375341242e-05,-2.08822549732917e-05,NA,1.44499700721642e-05,8.73575407549412e-06,-1.60111531772551e-05,-3.56098811634822e-06,-3.94701513905092e-05,4.8354190926951e-06,1.24836680428349e-05
"fin",-7.92262676204324e-05,-5.9878120791164e-05,-1.48686010875416e-06,-2.10672688549949e-05,-6.22556872330993e-05,-5.42610590813476e-05,-3.51258723970595e-05,1.44499700721642e-05,NA,-5.64057276847885e-05,-2.27288058136112e-05,-1.52422118697062e-05,-3.70722263489014e-05,-1.74546363046944e-05,-1.56310696744656e-05
"vol",-4.59536760592288e-05,-4.92062707248466e-05,-8.88599004560541e-07,-1.93679177563472e-05,-5.14797337442587e-05,-6.93025551214806e-05,-7.10803139888671e-07,8.73575407549412e-06,-5.64057276847885e-05,NA,-3.5360761532291e-05,7.05384388273115e-06,-9.75811134204861e-07,-4.52654954127755e-05,-7.91265001165925e-05
"bon",7.1920315503601e-05,-7.42190948810915e-06,2.80612911531654e-06,6.39410651554137e-06,-2.36645226644319e-05,-2.14373429764815e-05,-2.83826721305251e-06,-1.60111531772551e-05,-2.27288058136112e-05,-3.5360761532291e-05,NA,4.11148834000291e-05,1.85079921109734e-05,-1.27966475559147e-05,-4.11619349147631e-05
"tag",-3.67000058291185e-05,-3.31985067858703e-05,2.06256505990441e-06,1.10958814480826e-05,-1.24301679357146e-05,-4.78315840814971e-06,5.07750871836303e-05,-3.56098811634822e-06,-1.52422118697062e-05,7.05384388273115e-06,4.11148834000291e-05,NA,-7.43368889350378e-06,6.2617360234483e-05,-1.43257361927513e-05
"lou",-0.000145886345585755,-0.000133341488879124,4.21396695630182e-06,9.33866781399017e-06,-2.32463348687359e-05,-5.18595603528087e-05,-0.000103236766675008,-3.94701513905092e-05,-3.70722263489014e-05,-9.75811134204861e-07,1.85079921109734e-05,-7.43368889350378e-06,NA,2.86822773082214e-05,1.45577760697626e-05
"lan",-9.07972811936581e-06,-4.91794896938344e-06,7.47934928879288e-07,1.13126246902382e-05,-1.01121897433869e-05,-1.15214236066826e-05,3.65898206286673e-05,4.8354190926951e-06,-1.74546363046944e-05,-4.52654954127755e-05,-1.27966475559147e-05,6.2617360234483e-05,2.86822773082214e-05,NA,-1.17456194640869e-05
"ano",-3.74050832462302e-05,1.95596829845097e-05,-6.39043736850826e-06,1.91029629359824e-05,-5.13726985779429e-05,-4.40621573683499e-05,1.96027830048672e-05,1.24836680428349e-05,-1.56310696744656e-05,-7.91265001165925e-05,-4.11619349147631e-05,-1.43257361927513e-05,1.45577760697626e-05,-1.17456194640869e-05,NA
