"","Cal_yrs_BP","min","max","Ilex","Podocarpus","Rutaceae undiff.","Casuarinaceae","Arytera","Calophyllum","Embelia","Endospermum","Homalium","Mallotus","Homalanthus","Palaquium","Turrillia","Acronychia comp.","Eleocharis comp.","Medinilla comp.","Neonauclea comp.","Scaevola comp.","Hymenophyllum","Apiaceae","Asteraceae","Polygonum","Freycinetia","Geniostoma","Pandanus","Plerandra","Myrtaceae (type 1)","Cunoniaceae (dicolpate)","Cunoniaceae (tricolpate)","Unknown (monolete, type B)","Poaceae","Rapanea","Bischofia","Dysoxylum","Metrosideros","Ascarina","Blechnum comp.","Unknown (trilete)","Lycopodium","Polypodium","Acalypha","Cyatheaceae","Parasponia","Dicksonia","Ulmaceae","Macaranga","Urticaceae (type 1)","Dicranopteris","Urticaceae (type 2)","Maesa","Elaeocarpus","Agathis","Psychotria","Baccaurea","Fabaceae (type 1)","Fabaceae (type 2)","Lygodium","Alphitonia","Arecaceae","Lepironia comp.","Unknown (monolete, type A)","Melochia","Haloragis sim.","Malvaceae","Aleurites","Dodonaea","Polygala","Garcinia","Euphorbiaceae undiff.","Cyperaceae (type 1)","Rubus comp.","Clematis","Melastomataceae","Randia","Calycosia","Collospermum","Myrtaceae (type 3)","Planchonella","Sphaerostephanos","Schefflera comp.","Solanaceae","Glochidion","Symplocos","Jasminum","Guioa","Cleistocalyx","Euodia","Dacrydium","Timonius","Myrtaceae (type 2)","Pteridaceae","Antirhea","Rhamnaceae undiff.","Commersonia","Dolicholobium","Balanops","Claoxylon","Melicope","Coprosma","Epacrideae","Dillenia","Fagraea","Gonocarpus","Myrtaceae (type 4)","Parinari comp.","Araliaceae undiff.","Heritiera","Ixora","Tapeinosperma","Saurauia","Ophiorrhiza","Pisonia comp.","Ardisia","Neuburgia","Mussaenda","Pemphis comp.","Quintinia comp.","Elattostachys","Rosaceae undiff.","Polyscias","Myristica","Potamogeton comp.","Leea","Rubiaceae undiff.","Pittosporum","Phaleria","Amaranthaceae","Streblus"
"1",83,-34,333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,5,6,6,7,10,12,13,19,22,22,26,32,34,44,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",202,8,523,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,2,0,1,2,1,0,3,0,7,1,6,16,13,4,1,10,8,22,0,7,10,15,65,33,34,1,1,1,1,1,1,1,1,2,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",322,72,687,2,1,0,1,0,1,0,4,0,2,6,0,0,0,0,2,1,0,1,0,0,1,0,0,2,0,1,2,0,0,3,1,4,1,3,15,7,6,2,6,6,13,0,15,16,24,68,22,20,0,4,1,0,0,0,3,0,0,2,2,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",443,144,838,0,5,0,1,0,0,0,3,1,1,7,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,2,0,4,0,0,13,14,3,2,11,5,10,0,8,22,10,66,47,37,0,3,0,0,2,0,1,0,1,2,19,4,0,0,0,1,1,1,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1158,751,1648,0,3,0,1,0,4,0,0,1,4,17,0,0,0,14,0,1,3,0,0,1,0,0,0,1,2,3,0,0,10,1,5,5,1,0,26,8,0,34,13,13,21,0,21,53,26,17,52,1,0,1,0,0,0,2,0,5,0,4,23,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1280,886,1783,3,3,2,3,0,1,0,0,2,3,28,0,0,0,0,0,0,2,2,0,0,0,0,2,2,2,1,0,3,0,2,4,3,1,4,11,12,6,6,7,11,26,0,1,32,21,26,54,14,1,0,0,2,0,0,0,0,0,6,517,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1400,1024,1909,2,2,0,0,0,3,0,2,1,4,19,2,0,0,5,0,0,3,1,0,0,0,5,0,2,2,2,0,0,1,4,3,8,0,4,0,7,2,4,9,11,29,0,3,20,15,26,36,25,1,1,0,1,2,0,1,1,0,10,388,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,1,0,0,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1516,1167,2032,0,2,0,3,0,1,2,0,1,2,7,0,1,0,49,0,1,0,4,0,1,0,6,0,20,2,15,0,6,0,1,0,0,0,6,5,13,0,9,6,11,9,0,0,23,12,59,30,12,1,0,1,0,0,0,4,1,0,1,121,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1672,1310,2226,5,9,0,3,0,1,3,0,0,2,4,0,0,0,2,0,0,0,2,0,1,0,39,0,366,2,8,0,6,0,7,28,6,0,3,23,4,5,127,11,1,10,0,0,6,8,24,24,6,1,5,0,0,0,1,10,3,0,4,0,1,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,3,0,1,0,0,0,8,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1886,1432,2557,3,2,0,1,0,3,1,0,0,0,7,0,0,0,0,0,0,1,1,0,0,0,33,2,768,5,10,3,4,0,2,21,3,0,3,25,7,0,37,7,0,20,0,0,7,10,6,20,1,0,6,2,1,0,2,7,0,0,7,4,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,7,0,1,0,0,0,0,8,0,2,0,0,0,21,0,0,0,1,1,1,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
